Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR21916220_1	SRR21916220_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89246.0	21.5 Mbp	0.0	242.0	57.0	6.190753647222285	242.0	242	pass	pass		pass	fail	fail	pass	pass	fail	fail	pass
SRR21916220_2	SRR21916220_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89246.0	22.4 Mbp	0.0	251.0	55.0	11.537772000986038	251.0	251	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
SRR21916221_1	SRR21916221_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95945.0	23.3 Mbp	0.0	243-251	57.0	6.465162332586377	243.00016676220753	243	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRR21916221_2	SRR21916221_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95945.0	24 Mbp	0.0	243-251	55.0	11.73901714523946	250.99983323779247	251	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRR21916222_1	SRR21916222_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95513.0	23.3 Mbp	0.0	244-251	57.0	5.831666893511878	244.00007328845288	244	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRR21916222_2	SRR21916222_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95513.0	23.9 Mbp	0.0	244-251	55.0	11.35133437333138	250.99992671154712	251	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRR21916223_1	SRR21916223_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85982.0	20.7 Mbp	0.0	241-251	57.0	7.046823753808937	241.00011630341234	241	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass
SRR21916223_2	SRR21916223_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85982.0	21.5 Mbp	0.0	241-251	55.0	11.212811983903608	250.99988369658766	251	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRR21916224_1	SRR21916224_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	102346.0	24.7 Mbp	0.0	242.0	57.0	5.642624040021104	242.0	242	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR21916224_2	SRR21916224_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	102346.0	25.6 Mbp	0.0	251.0	55.0	10.862173411760107	251.0	251	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR21916225_1	SRR21916225_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64278.0	15.4 Mbp	0.0	241.0	57.0	8.019851271041414	241.0	241	pass	pass		pass	fail	fail	pass	pass	fail	fail	pass
SRR21916225_2	SRR21916225_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64278.0	16.1 Mbp	0.0	251.0	55.0	13.827437070226207	251.0	251	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
SRR21916226_1	SRR21916226_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95461.0	23.1 Mbp	0.0	243-251	57.0	6.765066362179319	243.00050282314243	243	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRR21916226_2	SRR21916226_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95461.0	23.9 Mbp	0.0	243-251	55.0	11.63826065094646	250.99949717685757	251	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRR21916227_1	SRR21916227_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	102036.0	24.8 Mbp	0.0	244-251	57.0	5.6401662158453885	244.00013720647615	244	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRR21916227_2	SRR21916227_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	102036.0	25.6 Mbp	0.0	244-251	55.0	11.32443451330903	250.99986279352385	251	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRR21916228_1	SRR21916228_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86289.0	20.9 Mbp	0.0	243-251	57.0	6.253404257784885	243.00009271170137	243	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRR21916228_2	SRR21916228_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86289.0	21.6 Mbp	0.0	243-251	55.0	11.31662204916038	250.99990728829863	251	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRR21916229_1	SRR21916229_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89214.0	21.7 Mbp	0.0	244.0	57.0	5.997937543434887	244.0	244	pass	pass		pass	fail	fail	pass	pass	fail	fail	pass
SRR21916229_2	SRR21916229_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89214.0	22.3 Mbp	0.0	251.0	55.0	11.541910462483466	251.0	251	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
SRR21916230_1	SRR21916230_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83963.0	20.2 Mbp	0.0	241.0	56.0	7.947548324857377	241.0	241	pass	pass		pass	fail	fail	pass	pass	fail	fail	pass
SRR21916230_2	SRR21916230_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83963.0	21 Mbp	0.0	251.0	55.0	12.684158498386195	251.0	251	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
SRR21916231_1	SRR21916231_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91500.0	22.1 Mbp	0.0	242.0	57.0	6.00655737704918	242.0	242	pass	pass		pass	fail	fail	pass	pass	fail	fail	pass
SRR21916231_2	SRR21916231_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91500.0	22.9 Mbp	0.0	251.0	55.0	11.755191256830601	251.0	251	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
SRR21916232_1	SRR21916232_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89672.0	21.7 Mbp	0.0	243-251	57.0	6.997725042376661	243.00026764207334	243	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
